frame,time_s,phase,board_x,board_y,board_z,gun_x,gun_y,gun_z,nozzle_x,nozzle_y,nozzle_z,robot_x,robot_y,robot_z,ground_target_x,ground_target_y,ground_column_index,ground_row,robot_yaw_deg,active_fastener_index,state,arm_pose,collision_active,contact_force_n,tool_pressure,nails_installed,board_grasped,tool_grasped,nailing_reference_time_s,nailing_reference_frame,robot_label
50,1.6667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9074074074074074,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
51,1.7,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.906075,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
52,1.7333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.904859259259259,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
53,1.7667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9037657407407407,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
54,1.8,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9028,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
55,1.8333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9019675925925923,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
56,1.8667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.901274074074074,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
57,1.9,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.900725,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
58,1.9333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9003259259259258,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
59,1.9667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.900082407407407,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
