frame,time_s,board_x,board_y,board_z,gun_x,gun_y,gun_z,nozzle_x,nozzle_y,nozzle_z,robot_x,robot_y,robot_z,ground_target_x,ground_target_y,ground_column_index,ground_row,robot_yaw_deg,active_fastener_index,state,arm_pose,collision_active,contact_force_n,tool_pressure,nails_installed,tool_grasped,robot_label
68,2.2667,-0.1,0.28,1.45,-1.485005075045891,-1.3838136011229887,1.59,-1.485005075045891,-1.2238136011229888,1.34,-2.085005075045891,-1.0838136011229886,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
69,2.3,-0.1,0.28,1.45,-1.4720466472303202,-1.3490850145772593,1.59,-1.4720466472303202,-1.1890850145772593,1.34,-2.0720466472303203,-1.0490850145772592,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
70,2.3333,-0.1,0.28,1.45,-1.4592592592592588,-1.3148148148148147,1.59,-1.4592592592592588,-1.1548148148148147,1.34,-2.059259259259259,-1.0148148148148146,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
71,2.3667,-0.1,0.28,1.45,-1.4466532771838891,-1.2810307828528236,1.59,-1.4466532771838891,-1.1210307828528236,1.34,-2.0466532771838892,-0.9810307828528235,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
72,2.4,-0.1,0.28,1.45,-1.4342390670553935,-1.2477606997084545,1.59,-1.4342390670553935,-1.0877606997084546,1.34,-2.0342390670553936,-0.9477606997084544,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
73,2.4333,-0.1,0.28,1.45,-1.4220269949249538,-1.2150323463988772,1.59,-1.4220269949249538,-1.0550323463988773,1.34,-2.022026994924954,-0.9150323463988772,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
74,2.4667,-0.1,0.28,1.45,-1.4100274268437532,-1.1828735039412586,1.59,-1.4100274268437532,-1.0228735039412586,1.34,-2.0100274268437532,-0.8828735039412585,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
75,2.5,-0.1,0.28,1.45,-1.3982507288629735,-1.1513119533527696,1.59,-1.3982507288629735,-0.9913119533527696,1.34,-1.9982507288629736,-0.8513119533527695,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
76,2.5333,-0.1,0.28,1.45,-1.3867072670337977,-1.120375475650578,1.59,-1.3867072670337977,-0.9603754756505779,1.34,-1.9867072670337975,-0.8203754756505779,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
77,2.5667,-0.1,0.28,1.45,-1.375407407407407,-1.0900918518518512,1.59,-1.375407407407407,-0.9300918518518512,1.34,-1.975407407407407,-0.7900918518518512,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
